"Date","Price","Open","High","Low","Vol.","Change %"
"06/19/2022","6.702","7.005","7.005","6.657","3.30K","-3.49%"
"06/17/2022","6.944","7.454","7.588","6.881","103.76K","-6.97%"
"06/16/2022","7.464","7.540","8.027","7.330","137.43K","0.59%"
"06/15/2022","7.420","7.269","7.698","7.201","123.59K","3.21%"
"06/14/2022","7.189","8.686","8.889","7.008","273.72K","-16.49%"
"06/13/2022","8.609","8.920","8.950","8.382","167.56K","-2.72%"
"06/10/2022","8.850","8.997","9.149","8.622","134.61K","-1.26%"
"06/09/2022","8.963","8.629","9.036","8.016","244.48K","3.03%"
"06/08/2022","8.699","9.335","9.664","8.427","250.30K","-6.39%"
"06/07/2022","9.293","9.359","9.544","9.200","140.03K","-0.31%"
"06/06/2022","9.322","8.750","9.400","8.732","129.10K","9.37%"
"06/03/2022","8.523","8.412","8.693","8.267","75.23K","0.45%"
"06/02/2022","8.485","8.783","9.057","8.377","119.01K","-2.43%"
"06/01/2022","8.696","8.271","8.791","8.146","111.96K","6.76%"
"05/31/2022","8.145","8.874","8.916","8.118","125.48K","-6.24%"
"05/30/2022","8.687","8.818","8.910","8.587","17.66K","-1.44%"
"05/29/2022","8.814","8.874","8.885","8.696","1.43K","1.00%"
"05/27/2022","8.727","8.811","8.895","8.285","107.09K","-2.03%"
"05/26/2022","8.908","8.984","9.401","8.785","1.47K","-0.70%"
"05/25/2022","8.971","8.831","9.399","8.765","37.39K","1.99%"
"05/24/2022","8.796","8.727","8.930","8.605","31.66K","0.59%"
"05/23/2022","8.744","8.079","8.822","7.851","65.55K","8.18%"
"05/20/2022","8.083","8.112","8.189","7.837","85.46K","-2.71%"
"05/19/2022","8.308","8.240","8.500","7.905","90.58K","-0.72%"
"05/18/2022","8.368","8.318","8.548","8.160","80.72K","0.77%"
"05/17/2022","8.304","8.016","8.372","8.015","76.67K","4.37%"
"05/16/2022","7.956","7.700","8.183","7.663","93.52K","4.38%"
"05/14/2022","7.622","7.622","7.622","7.622","","-0.54%"
"05/13/2022","7.663","7.673","7.919","7.515","85.04K","-0.98%"
"05/12/2022","7.739","7.637","7.790","7.255","107.06K","1.30%"
"05/11/2022","7.640","7.312","7.721","7.296","120.93K","3.45%"
"05/10/2022","7.385","7.030","7.463","6.430","185.46K","5.11%"
"05/09/2022","7.026","7.843","8.287","6.962","202.62K","-11.97%"
"05/07/2022","7.981","7.981","7.981","7.981","","-0.77%"
"05/06/2022","8.043","8.843","8.996","7.957","168.30K","-8.43%"
"05/05/2022","8.783","8.355","8.913","8.117","160.16K","4.37%"
"05/04/2022","8.415","7.815","8.474","7.729","132.32K","5.80%"
"05/03/2022","7.954","7.540","8.169","7.539","153.34K","6.41%"
"05/02/2022","7.475","7.412","7.617","7.219","110.92K","3.19%"
"04/29/2022","7.244","6.939","7.335","6.805","109.24K","5.17%"
"04/28/2022","6.888","7.395","7.422","6.879","139.57K","-5.22%"
"04/27/2022","7.267","6.858","7.344","6.800","2.63K","6.09%"
"04/26/2022","6.850","6.836","7.050","6.662","41.41K","2.71%"
"04/25/2022","6.669","6.414","6.966","6.345","32.52K","2.07%"
"04/22/2022","6.534","6.938","7.080","6.438","80.60K","-6.08%"
"04/21/2022","6.957","6.825","7.146","6.703","145.26K","0.29%"
"04/20/2022","6.937","7.253","7.410","6.791","157.96K","-3.33%"
"04/19/2022","7.176","7.776","7.939","6.954","237.00K","-8.24%"
"04/18/2022","7.820","7.367","8.065","7.365","191.08K","7.12%"
"04/14/2022","7.300","7.046","7.346","6.950","214.22K","4.33%"
"04/13/2022","6.997","6.704","7.091","6.652","210.55K","4.75%"
"04/12/2022","6.680","6.705","6.947","6.600","234.25K","0.56%"
"04/11/2022","6.643","6.394","6.722","6.247","177.96K","5.81%"
"04/08/2022","6.278","6.411","6.538","6.257","188.34K","-1.27%"
"04/07/2022","6.359","6.116","6.440","6.000","199.51K","5.47%"
"04/06/2022","6.029","6.078","6.394","6.000","166.72K","-0.05%"
"04/05/2022","6.032","5.782","6.201","5.771","158.22K","5.60%"
"04/04/2022","5.712","5.745","5.857","5.650","137.18K","-0.17%"
